"","NOME_REGIONE","anno_raggr","tasso_standard"
"126","Umbria","2025",1213.07428421101
"127","Valle d'Aosta/Vallée d'Aoste","2015-19",1371.79227922035
"128","Valle d'Aosta/Vallée d'Aoste","2020",1616.49368933066
"129","Valle d'Aosta/Vallée d'Aoste","2021",1338.45132622795
"130","Valle d'Aosta/Vallée d'Aoste","2022",1323.69406423327
"131","Valle d'Aosta/Vallée d'Aoste","2023",1175.25485192448
"132","Valle d'Aosta/Vallée d'Aoste","2024",1190.97992290658
"133","Valle d'Aosta/Vallée d'Aoste","2025",1100.93689811641
"134","Veneto","2015-19",1202.56693884851
"135","Veneto","2020",1304.29102542387
"136","Veneto","2021",1208.24762129518
"137","Veneto","2022",1218.69522074443
"138","Veneto","2023",1101.01646752639
"139","Veneto","2024",1065.32506047705
"140","Veneto","2025",1054.27619650428
